epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2310.11,0.97524,0.61644,1.1946,0.92241,0.92425,0.94552,0.71858,0.93719,0.48721,1.09179,0.00060759,0.00060759,0.00060759
43,2363.67,0.9712,0.6153,1.19001,0.90686,0.90616,0.94272,0.7182,0.94732,0.49971,1.12942,0.000602092,0.000602092,0.000602092
44,2417.34,0.96693,0.60615,1.18844,0.88163,0.91999,0.94519,0.71676,0.95548,0.50346,1.13122,0.000596595,0.000596595,0.000596595
45,2471.04,0.95693,0.60317,1.18328,0.91147,0.91177,0.94193,0.72406,0.92835,0.48903,1.10424,0.000591097,0.000591097,0.000591097
46,2524.68,0.95368,0.60359,1.1819,0.88812,0.92849,0.93823,0.71385,0.95272,0.5017,1.13506,0.000585599,0.000585599,0.000585599
47,2579.07,0.9535,0.60321,1.18485,0.90991,0.91314,0.93519,0.71114,0.94885,0.50448,1.1442,0.000580101,0.000580101,0.000580101
48,2633.31,0.95279,0.59688,1.18048,0.90699,0.93075,0.94397,0.72739,0.93215,0.48217,1.10451,0.000574603,0.000574603,0.000574603
49,2687.29,0.9471,0.59707,1.17807,0.91433,0.89135,0.93188,0.69398,0.97868,0.51241,1.15227,0.000569106,0.000569106,0.000569106
50,2741.25,0.94784,0.58739,1.17705,0.91006,0.91896,0.94106,0.72573,0.89963,0.48135,1.10058,0.000563608,0.000563608,0.000563608
51,2795.06,0.94935,0.58964,1.18172,0.88846,0.91938,0.94145,0.72688,0.92184,0.49973,1.10583,0.00055811,0.00055811,0.00055811
52,2848.53,0.93698,0.58118,1.17315,0.89681,0.92036,0.93724,0.72344,0.93127,0.48536,1.09339,0.000552612,0.000552612,0.000552612
53,2902.66,0.94331,0.5859,1.17689,0.8987,0.90523,0.93268,0.70371,0.9723,0.51064,1.16276,0.000547114,0.000547114,0.000547114
54,2956.34,0.92763,0.57374,1.16757,0.91389,0.90598,0.93256,0.71913,0.91834,0.49087,1.10497,0.000541617,0.000541617,0.000541617
55,3009.77,0.92698,0.56422,1.16169,0.90397,0.92879,0.94008,0.72627,0.93397,0.48401,1.1056,0.000536119,0.000536119,0.000536119
